id,building,floor,type,label,lat,lng,uq_maps_identifier,poi_id,kind_raw
JH-1-001,John Hines (Building 62),1,room,101 - Switch Room,-27.498805,153.012110,e717b0bcd88e08781a30ce6c7f26c01172e090c2d074c7a85617f20ffef14d4b,1236762,room
JH-1-002,John Hines (Building 62),1,room,102 - Unusable Space,-27.498867,153.012094,47874d259f8465c84caf1d34629a4b4470ed3da68aef94e341c89ccf30c89efd,1236752,room
JH-1-003,John Hines (Building 62),1,stairs,103 - Office Storage,-27.498912,153.012426,4be06de32aba53700aadb726b03abb48a366c5a8222b36c68f9279c797e523cb,1236753,stairs
JH-1-004,John Hines (Building 62),1,room,104 - Wet Lab-Scientific PC2+,-27.498900,153.012365,c481c0c83bf32adc8e3749ff35f6c46733518cba8a76ed6a8a5dbac58b54bb9b,1236759,room
JH-1-005,John Hines (Building 62),1,room,104A - Wet Lab-Scientific PC2+,-27.498860,153.012349,e038816527e3b871a622b3cce7fd84b68449538a6cc4c2cb9591555424928f7d,1236751,room
JH-1-006,John Hines (Building 62),1,room,105 - Wet Lab-Scientific PC2+,-27.498878,153.012304,dd0f0e3ecf7f9a451e5ce31934d40b9cbf75b05637330212d17dbc7c43591824,1236760,room
JH-1-007,John Hines (Building 62),1,room,106 - Plant Room-Mechanical,-27.498843,153.012208,22a3aeaf19f3036ab8fe4dc70863d7e999ed852ba8398ee66bc585a8389395e2,1236758,room
JH-1-008,John Hines (Building 62),1,corridor,195 - Circulation Space,-27.498762,153.012078,a8d4768e7c20912dcd85ece5564f59712a8308875661277e66f50ad689b32570,1236761,room
JH-1-009,John Hines (Building 62),1,corridor,196 - Circulation Space,-27.498843,153.012114,cbc1df697b5acf3450c869ed9384b77ff8266ddd765d8bdf7875ddd1648a45a5,1236757,room
JH-1-010,John Hines (Building 62),1,stairs,197 - Stairs,-27.498906,153.012410,8f2a72b35e44fdcb98bd3accbf6ce64169042e644962415389aae87334c22176,1236756,stairs
JH-1-011,John Hines (Building 62),1,stairs,199 - Stairs,-27.498868,153.012159,d1c7dd4aee8b55fe3fec44ca0f6ad00363bbd20f1f00b8c62a740806580ba3d3,1236754,stairs
JH-2-012,John Hines (Building 62),2,room,203 - Ancillary-Type Not Defined,-27.498896,153.012150,526e092107a599f50343ea6a364096e57179a40493108b26f602a3a99ce2a44d,1236833,room
JH-2-013,John Hines (Building 62),2,toilet,204 - Toilet/Amenities-Male,-27.498853,153.012039,1952aa772484eca138e4990af536df3680b897db10b967046efb14275ea5481f,1236818,room
JH-2-014,John Hines (Building 62),2,toilet,205 - Shower/Change Facility,-27.498851,153.012082,26a5823d6693a6353f6484de393f61dc9ea1b5a71da62a60ed76ee2f002a9c79,1236847,room
JH-2-015,John Hines (Building 62),2,toilet,206 - Toilet/Amenities-Female,-27.498820,153.012056,ce5c3ed093af6be730d979963dcd0c79114f66f021de3a8e7bc8337c26307af5,1236829,room
JH-2-016,John Hines (Building 62),2,room,207 - Switch Room,-27.498799,153.012099,b68eaec1687975c1d9215e1ef7c714d8561ba89c8f11117c684eb4ba301b33fc,1236810,room
JH-2-017,John Hines (Building 62),2,room,208 - Wet Lab-Scientific PC2+,-27.498786,153.012063,73fdca49d3dda9b403024a99864305ae10e508f05df654f2c2c50a82d328a363,1236851,room
JH-2-018,John Hines (Building 62),2,room,209 - Wet Lab-Scientific PC2+,-27.498697,153.011994,95c365c17026dc0db4b07e55811a0539c7cb1faf34747d6baac53f4875afc019,1236843,room
JH-2-019,John Hines (Building 62),2,room,209B - Wet Lab-Scientific PC2+,-27.498651,153.011906,c7046a9ec0de5766b9425cdea0dfbea4bb673c564e628e71931048eb3a2b8dfb,1236813,room
JH-2-020,John Hines (Building 62),2,room,209C - Wet Lab-Scientific PC2+,-27.498667,153.011886,c21abcdc0d8afe2154347ebe55625854a06b82a5235d49a7dd6ac059551fe87c,1236861,room
JH-2-021,John Hines (Building 62),2,room,209D - Wet Lab-Scientific PC2+,-27.498718,153.012081,1a2cb8b9caeb0361f8b06b39074d1259dbdd7ca6bb1631dc91d77ee0d4398cdf,1236848,room
JH-2-022,John Hines (Building 62),2,room,210 - Wet Lab-Scientific PC2+,-27.498774,153.012022,f00f22741bf4a31616364ec5d82ede12fe86741c4d4890c09f7c87acf8b2a6dc,1236834,room
JH-2-023,John Hines (Building 62),2,room,211 - Office-Research Staff,-27.498762,153.011991,3973b7ed51b887f97a63a9c2022b7c87b9cdbb89f75f11d88e37be816c3d1f0f,1236840,room
JH-2-024,John Hines (Building 62),2,room,212 - Office-Research Staff,-27.498751,153.011961,7601551a7323ae485563ebe7df895c21e71ef40100e744f09e35ec5b4027041d,1236852,room
JH-2-025,John Hines (Building 62),2,room,213 - Open Plan-Honours/Postgraduate Students,-27.498740,153.011931,b6ddcfd2f9d13942e77feec852ca6b964f1afdeb085c70cf6d7cd31f35a115a0,1236825,room
JH-2-026,John Hines (Building 62),2,room,214 - Office-Honours/Postgraduate Students,-27.498729,153.011901,91c72cd602b7afc9d01d61caf4b3d5da0d46cede88857bbefbab5bc9f5e28c9d,1236827,room
JH-2-027,John Hines (Building 62),2,room,215 - Wet Lab-Scientific PC2+,-27.498719,153.011871,6c3e9ba2137f3292a2650f435b7eb59435d1d33477822eaca382af1ba345e46a,1236839,room
JH-2-028,John Hines (Building 62),2,room,217 - Plant Room-Mechanical,-27.498726,153.011827,cb1b3d28c3663f6ad714c4cf0454fbc2f096cd82aa4595e5d112211828a2cc49,1236831,room
JH-2-029,John Hines (Building 62),2,room,218 - Wet Lab-Scientific PC2+,-27.498745,153.012107,3f2f14d5a5a2d21bc760c720253254ad8e6e799f0739b4b89af3f5d1e0b220ea,1236824,room
JH-2-030,John Hines (Building 62),2,room,218A - Wet Lab-Scientific PC2+,-27.498713,153.012116,397c6e40c3bbd72f8aa6b837e3b62e9dc14ab4bbd2db1a3c01080cf68b2a7e99,1236821,room
JH-2-031,John Hines (Building 62),2,room,219 - Office-Honours/Postgraduate Students,-27.498754,153.012138,5cd34da98e158bfc42c44f948c0707ca2f26a0580bc4a444ee38554899848878,1236859,room
JH-2-032,John Hines (Building 62),2,room,220 - Plant Room-Mechanical,-27.498731,153.012149,b321abf04db47b55e7435081a6d9b1b072c1663cba279ee20dcf2dca3800e54d,1236817,room
JH-2-033,John Hines (Building 62),2,room,220A - Office-Honours/Postgraduate Students,-27.498704,153.012159,1671e3ae67554b0ffaa7a063068cb7c5efd4d08aaee8c51d08540787009674e9,1236842,room
JH-2-034,John Hines (Building 62),2,room,220B - Office-Honours/Postgraduate Students,-27.498709,153.012191,945c40304691ba3fbbc8d6edc96f0cc65aab7061b74bf2e4858b378381221c0a,1236832,room
JH-2-035,John Hines (Building 62),2,room,221 - Wet Lab-Scientific PC2+,-27.498782,153.012240,6bc857fba027c827b49ee670fb3eb4a659cae3f7c3d869038d90bf45bf54ca0e,1236830,room
JH-2-036,John Hines (Building 62),2,room,221A - Hot Desk,-27.498720,153.012220,184563d15c9ba14f92c9ceff50b24356065fb462890b5b6d8e20adb00a6b192e,1236822,room
JH-2-037,John Hines (Building 62),2,room,221B - Hot Desk,-27.498729,153.012251,c46ca5734375179976c693556e8e6be8b2215c48af94d3878701d0ce87a9c0ee,1236849,room
JH-2-038,John Hines (Building 62),2,room,221C - Office-Research Staff,-27.498740,153.012281,593f56bbf0eb06186209216f9a299e0c2e3f3e45adf02b09ebcafd060e245170,1236815,room
JH-2-039,John Hines (Building 62),2,room,221D - Office-Research Staff,-27.498753,153.012310,469b55c758d8a8023a74e79b552a96a717f0507b4304515cda18d08fe7b7ba14,1236812,room
JH-2-040,John Hines (Building 62),2,room,222 - Office-Research Staff,-27.498818,153.012416,edba1fc177081e5a799595770e357a82724bf28d7c88e1a14407802a90c22c3f,1236811,room
JH-2-041,John Hines (Building 62),2,room,222A - Plant Room-Mechanical,-27.498824,153.012304,a63d2b873e8b927518d2d5232d0516d1d9c0f16672a870028b0a12f5bc8b12df,1236856,room
JH-2-042,John Hines (Building 62),2,room,222B - Office Storage,-27.498812,153.012313,32ac9e64eda44ac433a98bb4ad6908ef56ad24311616702e5781d329ba4f898b,1236826,room
JH-2-043,John Hines (Building 62),2,room,223A - Office-Research Staff,-27.498833,153.012345,3e41f586f2a6e0e2eaa72aac85716544f97f4ac61dd2610aafdc289f53c0378d,1236860,room
JH-2-044,John Hines (Building 62),2,room,223E - Office-Research Staff,-27.498790,153.012329,3494eb8eeb66b84bab018e05f940445ac07633e44bd39e13262b4e2f9d48bb63,1236841,room
JH-2-045,John Hines (Building 62),2,room,223F - Office-Research Staff,-27.498801,153.012360,fe76019ec11c6fa045f2bde2f5e52ac9e5dbccdff56e888017176b9fc140b48e,1236854,room
JH-2-046,John Hines (Building 62),2,room,226 - Staff Common Room,-27.498848,153.012401,6c6b599c603ffa2570b27881ee435506e19b57ffa23a3202e0248fe3233601c8,1236855,room
JH-2-047,John Hines (Building 62),2,room,228 - Office-Honours/Postgraduate Students,-27.498902,153.012366,ff47dd6ed9d8755a7d5ddedb5cf6ff1043c7838f628777af31d1f9abb085a97d,1236844,room
JH-2-048,John Hines (Building 62),2,room,229 - Wet Lab-Scientific PC2+,-27.498880,153.012305,f6e8138ac71032edc036abaee1946142a15eac40c38b58ae96fdea54b64fe61f,1236814,room
JH-2-049,John Hines (Building 62),2,room,230 - Office-Honours/Postgraduate Students,-27.498861,153.012261,c6b555e7e34421bd26866e0099ba82cd665bcc814c56df9532cac2ac6895a3eb,1236838,room
JH-2-050,John Hines (Building 62),2,room,231 - Wet Lab-Scientific PC2+,-27.498850,153.012229,ecc012a85bcf82b19b097b5fab3b9c5b6edd577e232d6f0b0ea19cb2b3b147a9,1236828,room
JH-2-051,John Hines (Building 62),2,room,232 - Wet Lab-Scientific PC2+,-27.498839,153.012205,78d864d89172709b751c3041c201f9236abea22999e8b956859c16f85c54e695,1236853,room
JH-2-052,John Hines (Building 62),2,room,233 - Controlled Temperature Room,-27.498821,153.012181,c933651f1a4da40cbfe8271a973df164369142095a01db6df9d8246eeaea63d9,1236819,room
JH-2-053,John Hines (Building 62),2,room,233A - Controlled Temperature Room,-27.498840,153.012172,fe92373a6182c1b00b683a5d80198be08f2402110f288db2d3d74fba20b65b26,1236857,room
JH-2-054,John Hines (Building 62),2,room,234 - COMMS RISER,-27.498822,153.012149,5457acd9cb87972bd26a11e3e6856fee3a92f6b45a991c75c003d0700c3e3203,1236858,room
JH-2-055,John Hines (Building 62),2,corridor,240 - Circulation Space,-27.498771,153.012121,113de3d6f2fc457e718dff52a0f4976c7108031736bf56a823cca6358e63ad67,1236846,room
JH-2-056,John Hines (Building 62),2,corridor,292 - Circulation Space,-27.498847,153.012360,0963caf3fd972aa4179fdb4e0571c67ad102bf3cdd03d83bc8f4b5e8fbd7683f,1236816,room
JH-2-057,John Hines (Building 62),2,corridor,293 - Circulation Space,-27.498820,153.012240,74ab1dd38bc844956c0c214f49ed79a774706eae577da9b4fb7c3993da37515f,1236850,room
JH-2-058,John Hines (Building 62),2,corridor,294 - Circulation Space,-27.498754,153.012259,2ffa42982d2bb223d3582c818b241b624d6ee1c2d591eeb89fcc681af49a2098,1236845,room
JH-2-059,John Hines (Building 62),2,corridor,295 - Circulation Space,-27.498734,153.012184,ce45b552239a734490144ea8cfc49995fa96cc63c7d3a6875632f43edc5707e7,1236820,room
JH-2-060,John Hines (Building 62),2,corridor,296 - Circulation Space / Hand Sanitiser,-27.498813,153.012125,ed7fb3c8acdca5b205b0db4f0efd404a11bc1f9b5a83704654d430566994c59b,1236837,room
JH-2-061,John Hines (Building 62),2,corridor,297 - Circulation Space,-27.498858,153.012105,839c43099fe2a5835204ebb6954d67624de834a81b281b32c4f062319ef1a1f1,1236836,room
JH-2-062,John Hines (Building 62),2,stairs,298 - Stairs,-27.498690,153.011844,2f48023404bb4a6cb17bb63e07dcfcbd250b1517f8e242164dd4a901de3c8ecf,1236823,stairs
JH-2-063,John Hines (Building 62),2,stairs,299 - Stairs,-27.498865,153.012155,ff557ce6aa0db515911b493d41c969f61200f5fd42dfeb0124fdb7375dddd855,1236835,stairs
JH-3-064,John Hines (Building 62),3,room,303 - Controlled Temperature Room,-27.498891,153.012135,398b8b6eaed3f9fa26bc742ea070a043758b170382d2b1c9d7bbc328944b2b5d,1236905,room
JH-3-065,John Hines (Building 62),3,room,303A - Controlled Temperature Room,-27.498902,153.012167,4f3626acb88ff0a0f5df890d2c0b42e02a0888357a172cbcdc6a718adb0495c3,1236876,room
JH-3-066,John Hines (Building 62),3,toilet,304 - Toilet/Amenities-Male / Toilet/Amenities-Male Accessible,-27.498853,153.012041,658f95a9131d840ebe2a408229876089d1e270f0e2cbd8a5776f98b5b7106efc,1236908,room
JH-3-067,John Hines (Building 62),3,toilet,305 - Shower/Change Facility,-27.498851,153.012082,f1aac03fa1b9a9566bdc5d57a80a1f9b86bd18ab2c3a60c771efe66c99f75c6c,1236897,room
JH-3-068,John Hines (Building 62),3,toilet,306 - Toilet/Amenities-Female / Toilet/Amenities-Female Accessible,-27.498820,153.012056,b6da7571e567c02bc223e434cea2425ad7ed6cbe7a45d58abc409fc87a901a7f,1236917,room
JH-3-069,John Hines (Building 62),3,room,307 - DATA RISER,-27.498793,153.012110,5987e3b77539ebd3b99728c2203140a59acf3956ccc6b18a91b542906b0bf267,1236894,room
JH-3-070,John Hines (Building 62),3,room,309 - Wet Lab-Scientific PC2+,-27.498798,153.012091,881c3cde3861f4d5ee263336e2abab669d15890087475a47a134f5eebf855b9a,1236878,room
