"id","building","floor","type","label","lat","lng","uq_maps_identifier"
"1192699","69","1","room","191 - OTHER COVERED AREA","-27.4990005973613","153.01273907088665","256877e360921dd3d653950ea723579fa30b0e7d2d1b28773e08de6a79d028fb"
"1192700","69","1","room","108 - Switch Room","-27.49894948062451","153.0125969325947","a93d5658660ce0b6942cfd01657d31b6db913ea6134342c88ed0d882f85239ef"
"1192701","69","1","room","107 - Plant Room-Mechanical","-27.499002495177123","153.0125884126449","865d1be1ac276043aec963ac6389e54c3c3507cbcf79581d243ee6d56c8a1301"
"1192702","69","1","room","109 - Plant Room-Mechanical","-27.498938591567608","153.01263438250783","f3781002837304c0ebfa0573344319f2f41b5a7e2bd3acc7aa59b9551e1b1d3b"
"1192703","69","1","General Teaching Room","110 - Seminar/Tutorial/Class Room (70 or more seats)","-27.498881789826065","153.0126902113079","315f319ba8fc2d6f58835f4a62ebf3879c50c38d94b097d3bab4649d3bacec6a"
"1192704","69","1","Bicycle Storage Rooms","105 - Bicycle Storage","-27.49909469707976","153.01256315063503","3d59f543fab43a605c2eb7f8d46f951a4d1c6aafae3e2897ddf3be29fcf4e852"
"1192705","69","1","room","111 - Plant Room-Mechanical","-27.4990485641142","153.01270221448345","7b482a71fd1373d3c647e208f88bab42d127d8e41efee004b17a4373633ed48e"
"1192706","69","1","room","106 - Sub-Station","-27.499057323057073","153.01252218435127","d6e5ad94109fb23d6f52b513bceb5a5969441d0edb368e7bb45eed328bc58730"
"1192707","69","2","Office","207B - Office-Professional/General Staff","-27.498856832930294","153.01274990085847","9284e691d629a515a381a9725548fbcba5bc3db9a15f0f09e4e3722fac22003f"
"1192708","69","2","room","290 - OTHER COVERED AREA","-27.498920820484766","153.0125286163564","322cc32db884de9d10b241ed5f52fd445c3fcbdadf6d1c3133611e07008f3a7f"
"1192709","69","2","Computer Lab - Teaching","209 - Computing Lab-Teaching","-27.49908258905132","153.01255110637612","cef19b3071820254915536521c96e719384a3ac4db8dae887331e5102f45ec91"
"1192710","69","2","room","295 - Circulation Space","-27.49896417053977","153.01258670754308","e70239345692cdc222d5faa371f93eea1c701f5dda4ba831de398570803d45f4"
"1192711","69","2","room","294 - Circulation Space","-27.49899275954552","153.0127314151095","eabf6b864361251b569de4af2ed6d7c4dfd2b181f04a9e544ee36e017fbbeea4"
"1192712","69","2","stairs","297 - Stairs","-27.498981743173903","153.01254876038405","6eac19ab79fddd956b84b705d91e25b112594dcd1a801941c427db900723d8e4"
"1192713","69","2","Kitchenette","207C - Kitchenette/Tea Room","-27.498940251738826","153.01271261408527","bf5c3cb8128cd45fe6ff6e7865c6db4346592950e04cc0129252a6f2b1e320c4"
"1192714","69","2","Hand Sanitiser","296 - Circulation Space / Hand Sanitiser","-27.498880144248457","153.01247415547218","531875b499ce3bd06172152d4a9336765aa28035ba582b016b8938b468477d62"
"1192715","69","2","Computer Lab - Teaching","208 - Computing Lab-Teaching","-27.49904398817132","153.01270678828908","5418ed5e58f4662b8f0bbddbb8d9ee087a9a7dcef071662b5c894fa00d80f796"
"1192716","69","2","stairs","298 - Stairs","-27.498909283101774","153.01241864525198","0a689e1bdcd00b2384658c918c5f2c9b8bef258b7d0fe1ac3dde52b5113a2bcf"
"1192717","69","2","room","211 - ELECTRICAL RISER / DB","-27.49900886392718","153.01259256707613","e40e69f40ee576c3abcee4cc8536aac25262b29da2076af87e0cb84d64531d6d"
"1192718","69","2","Meeting Room","206B - Meeting/Board/Conference Room","-27.49883464795556","153.0126891651509","e01019ab5788ed5d57784493a2193ccc5f4a4c3f5101e15d89e55ed09caba180"
"1192719","69","2","room","225 - Mail Sorting/Goods Receipt/Despatch","-27.49893195446809","153.0124512611068","23a030471725f9833ba94e130cf980118df5fb32cafa52549f859651e437db86"
"1192720","69","2","room","210 - Plant Room-Mechanical","-27.498986919981036","153.01261778668874","e80aa9be188911a1113b548f8e72ea80d42bf50b128d5db915a71f5b71697842"
"1192721","69","2","elevator","299 - Lift","-27.4988539459263","153.01244038783338","d4add718964661087f765cf75d906a26095acb2a9aa96af2d94573a91476c8cc"
"1192722","69","2","Office","207A - Office-Professional/General Staff","-27.498844649988666","153.01271654784975","f64dc7435482dc1c04423db6c4c8699c690ef6dc0e32ce48b4c852a118c1c7c8"
"1192724","69","2","room","212 - COMMS STRUC CABLING SYSTEM ROOM","-27.499017628432508","153.01261118817132","6376d71c7b893705cb850058abc40db0b43ed0d71a2ed00a60cf04d13a3098f3"
"1192725","69","2","Office","207 - Reception Desk","-27.498896811046826","153.01270139687907","4c35a0596552a3ed1b298432e80eba7d15bd4a6087a382d925b291ebb18995db"
"1192726","69","2","room","213 - HYDRAULICS RISER / Water Refill Station","-27.498948237550362","153.0126357450002","94c74f72ffdf6b32c8d075479547c5e044f9ab83a83add3385ef253bbb7607ee"
"1192727","69","2","Meeting Room","206A - Meeting/Board/Conference Room","-27.498825322671458","153.01266363582698","c54d0cc480c8cacf81dc5dbc65b7c62423ffcfc1cb5080e0cec0d9f0ded57958"
"1192728","69","2","Office","206 - Waiting Area","-27.498875494879567","153.01264239645644","24e7bc82c416b2fd3ddac3c17c9b74bcef5fc68bde68a6dc9cad9e665dcce7c1"
"1192729","69","3","Computers - Open Access","316 - Computing Lab-Teaching / Computers - Open Access","-27.49908274973414","153.01255090786736","040ef0396235a4a7146ea0270cf843799d28606460eed6b6d4b12d772e1637a6"
"1192730","69","3","Computers - Open Access","315 - Computing Lab-Teaching / Computers - Open Access","-27.49904407602934","153.0127066943468","91b78f43789c2f521399b75ea00e79d687d862f01cdc077c734717396c8ba993"
"1192731","69","3","room","330A - ELECTRICAL RISER / DB","-27.49900917829345","153.01259236497503","01551f1cc51de790098a9bbcca59c73264f2df56df9470b0102363af6081f961"
"1192732","69","3","room","330 - Plant Room-Mechanical","-27.498986978105616","153.012617696178","dbfba4957270c856971b385d5137caf1cf27708a47c0871bf50428fb3e5b1340"
"1192733","69","3","room","321A - HYDRAULICS RISER","-27.498950100922478","153.0126348164122","690e0f90be25fc6f10a85482510cb44dd3abf4d23a1c6002929c276496d62ad9"
"1192734","69","3","elevator","399 - Lift","-27.498853885547813","153.01244015279676","d4659e061f040aef5a0bd783aea093e05cbe487df14332afebce7f0194cf44f9"
"1192735","69","3","Computers - Open Access","304 - Computing Lab-Teaching / Computers - Open Access","-27.49892433202685","153.01252887182596","ee019b8010772aaf98dc83fd1b654b78fa965eff3e4cf63307cfe099030bcd7a"
"1192736","69","3","room","330B - COMMS STRUC CABLING SYSTEM ROOM","-27.49901768094817","153.0126111388088","80aa17742ca46c1da3bb9a196dddc31e6eef9273ec545d7ef6fe1072a3a4d6b3"
"1192737","69","3","room","395 - Circulation Space","-27.498984519508518","153.0126501234886","5bc2227af450598ed9f3b3f69cb480d7813248a36f5d3b976bb0c4906be7b093"
"1192738","69","3","room","331 - Plant Room-Mechanical","-27.49893425672509","153.01240658340419","a4268811f2aa4615e1886cddc2e5056b7ced3af821c54b0448fe42c706ae41b8"
"1192739","69","3","stairs","398 - Stairs","-27.498898868190608","153.0124234210088","8e0690e69dd0ef11885f0ccf729ad9619763413b9a5e6dd3abdcd4c6791a07a5"
"1192740","69","3","Computers - Open Access","305 - Computing Lab-Teaching / Computers - Open Access","-27.498881652432075","153.01269027780617","fe631fa69ff0b2753faea6df8fd773b79efd47bcc8839bec6f4364c61cf8c843"
"1192741","69","3","stairs","397 - Stairs","-27.498982792573315","153.01255138717787","33698f3f4b333f0a3f2b989aaa672c332fbabdc635567658310559c7f82b8bd6"
"1192742","69","3","room","322 - FIRE RISER","-27.498955329802808","153.012649130782","a33142438adf3b394d50cfdf2506b265175c11bdf4112af8cdd1a4a970e9105b"
"1192743","69","3","room","396 - Circulation Space","-27.498875377722182","153.01246675661014","5d6c280da6efb3b431502475017f49b94b553f7bbcd8e687c4747bf2b4ebc8df"
"1192744","69","4","General Teaching Room","407 - Case Based Learning Teaching room","-27.49904444509734","153.01252997729011","06b06119c01b811a6d8d35fd0a22669e16b8ab07e7a34d9e7d321ddd98a22414"
"1192745","69","4","room","419 - Plant Room-Mechanical","-27.498986978884","153.01261775195582","6d91fada00b60166be84f8a143000868f793166af3875871aaa4d3c68af88ed1"
"1192746","69","4","Office","414 - Reception Desk","-27.498901045996703","153.01264626358054","45cf668f71dec6017651576e3bb4a25c5048b5a1093a1fd918c494c72275effc"
